AEILNRST;SITRALEN SNILEART TILRANES
IIKNORTT;TRIKOTIN
EIILRTTV;TRIVIELT
EGNNOORT;TROGONEN
DEEMMORT;TROMMEDE
GIMMNORT;TROMMING
EGINNRTÆ;TRÆINGEN TÆRINGEN
AMRSTTYØ;TRØYSAMT
ELLPRSTÅ;TRÅLSLEP
ENPRTTUÅ;TRÅPUTEN
ELMRRTVÅ;TVERRMÅL
ILNNPSTY;TYNNSLIP
EKNNSTTY;TYNNSTEK
DDEELNTØ;TØDDELEN
EEMMNRTØ;TØMMEREN TØMMERNE
AGLRRTTØ;TØRRLAGT
EKKRRSTØ;TØRRSEKK
EEHIKMTÅ;TÅKEHEIM
ADDELNTÅ;TÅLADDEN
AEFGGILU;UFAGLIGE
AFGRRSUØ;UGRASFRØ
DEEHKLUY;UHYKLEDE
AKNNOTTU;UKONTANT
DEEEKRUV;UKREVEDE
ALLORTTU;ULLROTTA
ADLLRTUY;ULTRALYD
EGILLSUØ;ULØSELIG
AENNRTUU;UNATUREN
DEFNRRUY;UNDERFYR
EGNPRRUY;UNGRYPER
EEEILPTU;UPLEIETE
AAGLRSSU;URGLASSA
ACEIRRTU;URTICAER
DDERSTUØ;USTRØDDE
ABRRSTUÅ;USÅRBART
FGIINRTU;UTFIRING UTFRIING
EFRSSTUY;UTFRYSES
AEGLMMTU;UTGAMMEL
DDEGILTU;UTGLIDDE
EFGRTTUØ;UTGRØFTE
DEHLOTTU;UTHOLDTE
EHILTTUV;UTHVILTE
ELOSSTTU;UTLOSSET
AEJKKSTU;UTSJEKKA
ELNPSTUU;UTSLUPNE
GIIMNSTU;UTSMIING
ERRSTTUY;UTSTYRER
AIKKPSTV;VAKTSKIP
AAGLNTTV;VALGNATT
AEGHNNUV;VANHUGEN
AKLNNSVÅ;VANNSKÅL
AAKNSSTV;VASSKANT VASSTANK
AAORSSTV;VASSTROA
BDEELTVÅ;VEDBÅLET
DEEEGLTV;VEGDELET
AEEGGPRV;VEGGREPA
EEEGKMRV;VEGMERKE
DEEGMNNV;VEGNEMND
EEEHKRTV;VEKHETER
AADEKTTV;VEKTDATA
EKNNOTTV;VEKTTONN
AEHLLSUV;VELLHUSA
EILLSTTV;VELSTILT
EEHNNSUV;VENNEHUS
EEIKPSSV;VEPSISKE
EFKLLRUV;VERKFULL
DEEENPRV;VERPENDE
EEKNORVV;VEVKONER
ADDEFIRV;VIDFERDA
DEIRTTVÅ;VIDÅTTER
DGIINSTV;VINDIGST
DIJKNSUV;VINDSJUK
AINOSTVV;VINSTOVA
EIINSTTV;VISITTEN
EEGGLOTV;VLOGGETE
DEGKKNOV;VOGNDEKK
DEIKNOOV;VOKOIDEN
BEKKLOSV;VOKSBLEK
DGILOTTV;VOLDGITT
DGILNNOV;VONDLING
GIILMNRV;VRIMLING
ELRSTVYÆ;VÆRLYSET
AEKPSTVÆ;VÆSKETAP
ADGNRVÅØ;VÅRDØGNA
KNPRTUVÅ;VÅRPUNKT
IKNNRSVÅ;VÅRSKINN
ADEHOSVÅ;VÅSEHODA
EIJLNTVÅ;VÅTLINJE
AEENPRSW;WRAPSENE
AEIMNNRÆ;ÆREMINNA
ADEGRRSÆ;ÆRESGRAD
DEEEGLRØ;ØGLEREDE
EGKLOORØ;ØKOLOGER
AEKKLMOØ;ØKOMELKA
EKMNOORØ;ØKONOMER
BEEILLNØ;ØLBILENE
ABIKKLRØ;ØLBRIKKA
DEGILLTØ;ØLGILDET
AELNPPTØ;ØLTAPPEN
AGLLSTUØ;ØLUTSALG
EGLNNOVØ;ØLVOGNEN
AAENPRRØ;ØRNEPARA
EHNRSTÆØ;ØSTHÆREN
EEGINNVØ;ØVINGENE
EEHLRUYØ;ØYEHULER
AAEKMRYØ;ØYEKAMRA
EELNTYÅØ;ØYELÅNET
ABGINTÅØ;ÅBØTINGA
EGIPRRSÅ;ÅGERPRIS
DENPSTYÅ;ÅNDSTYPE
EEEMNRTÅ;ÅREEMNET
EEINNPRÅ;ÅREPINNE
AAEKRTTÅ;ÅRETAKTA
BEERSSTÅ;ÅRSBESTE
AKLLRSUÅ;ÅRSKULLA
DEEINSSÅ;ÅSSIDENE
ABEEJRRU;ABJURERE
AAEKNNTT;AKTANTEN KANTATEN
ADEEELLR;ALLEREDE
ADILLNOY;ALLODYNI
AAEFMORR;AMFORAER
ADDEGNRÅ;ANDEGÅRD ÅNDEDRAG
AAFGINNR;ANFARING INNFARGA
AAEGHNNT;ANHANGET
AENNNORS;ANNONSER RANSONEN
AEENNNRT;ANTENNER TENNAREN
AAIMNNOT;ANTIMONA
AEEHNPRÆ;APEHÆREN
AEHMRRTÅ;ARMHÅRET
AEERRRST;ARRESTER RASTRERE SERRATER TRASERER
AELRSVVØ;ARVESØLV AVSØLVER SØLVARVE SØLVVARE
AAMNNSTU;AUSTMANN
AGGRSTUY;AUSTRYGG
AAEMSSTU;AUSTSAME
AADEMPTV;AVDAMPET
AAEFSTTV;AVFATTES
AAEGLSSV;AVGLASSE VASSEGLA
AEHLLTUV;AVHULLET
ADEEKRVV;AVKREVDE
ADDKRSUV;AVSKRUDD VARSKUDD
AEOPPSTV;AVSOPPET
AEEGLSVV;AVVELGES VEGVALSE
ABBDEELN;BABLENDE LABBENDE
AABEKKLS;BAKAKSEL BAKLEKSA
ABBDEIKN;BAKBINDE
ABIKLLPS;BAKSPILL
AABDELLR;BALLADER
AABEKLLT;BALLETAK
ABELLNVØ;BALLØVEN
AABELMNN;BANANMEL
AABHKNSU;BANKHUSA
ABEHNRRÅ;BARNEHÅR
ABERRTTY;BARYTTER
BDEEEIMR;BEDEREIM
BDEEEGIS;BEEDIGES
BEEGRRTÅ;BEGRÅTER RÅBERGET
BEFINTTØ;BEINTØFT
AABEGIJN;BEJAINGA
BEEEKNPT;BEKNEPET
BEGIILNV;BELIVING BILINGVE
BEEINPPR;BENPIPER
BEEEIRRS;BEREISER BESEIRER
BEEEKNSØ;BESØKENE
BBEILRTU;BIBELTRU
ABBDEILT;BIBLADET
BBEILMRS;BILBREMS
ABEILPPT;BILTEPPA
ABIILPST;BILTIPSA
BGILNOPØ;BINGOLØP
ABIILMNO;BINOMIAL
BEIINOPS;BIOPSIEN
BGIJKNTU;BJUKTING
ABDLNNTY;BLADTYNN
ABKKLOTU;BLAUTKOK KULTBOKA UTBLOKKA
ABEELNRZ;BLAZEREN BLAZERNE
BEFIIKLS;BLEIKFIS FISKEBIL
BEGIKLLU;BLEIKGUL GULBLEIK
BEIKKLSØ;BLIKKØSE
ABDGLLOS;BLODSLAG
BEEGGLOT;BLOGGETE BOTLEGGE
BDGILNNO;BLONDING
BBEELNRU;BLURBENE
BEILLSUV;BLUSELIV
BDEHLOTY;BLYHODET
BEHILTVY;BLYHVITE
BELRRTYØ;BLYRØRET
BEFLRTÅØ;BLÅFØRET
BEILNSSÅ;BLÅNISSE
ABLMRSYÅ;BLÅSYMRA
BEEFLLNO;BOFELLEN
BBEIKLOR;BOKBILER
BDEGJKLO;BOKGJELD
BEKLOORV;BOKLOVER
BDEKLORÆ;BOKLÆRDE
BEKKNOSØ;BOKØNSKE
ABKMOORT;BOMKORTA
BEKNOOSV;BONEVOKS
BEEGINOO;BOOGIENE
BDEEOOST;BOOSTEDE
BGINOOST;BOOSTING
ABDDEMOR;BORDDAME DAMEBORD
BEFGORRU;BORGFRUE
BEFORRTØ;BORTFØRE
BFGIORTT;BORTGIFT
BLNORTTÅ;BORTLÅNT BOTNTRÅL
BEEORRSS;BOSSERER
BDGHNOTU;BOTNHUGD
BEHNOTTU;BOTTHUEN
ABDEJORR;BREJORDA
BEGIMMNR;BREMMING
BIKKNORV;BROKKNIV
BEIMMORS;BROMISME
ABMORRSY;BROMSYRA
BEGLNRUU;BRUNGULE BULGUREN BURUGLEN GULBRUNE
BEILLPRU;BRUPILLE
ABKPRSSU;BRUSSKAP
BEORRTTU;BRUTTOER ROTTEBUR
BDEMNNRØ;BRØDMENN
BEGHNRUÅ;BRÅHUGEN HUGBÅREN HUGBÅRNE
ABEKRRVÅ;BRÅVAKRE KÅRBREVA
BDENRTUU;BUDRUTEN RUNDBUET UTBURDEN
BDEEFRRU;BUFERDER
ABGIKKNU;BUKKINGA
BEFLOTTU;BULOFTET
BDDEERSU;BUSREDDE
BOPRSTTU;BUTTSPOR
ABBENRTY;BYBARNET
BDEFGNOY;BYFOGDEN
BEGRTTUY;BYGUTTER
BDEGNRYÅ;BYGÅRDEN
ABEHNTTY;BYHATTEN
BEELPRYØ;BYLØPERE
ABIMOTVY;BYMOTIVA
ABEPRSSY;BYPASSER
BELLNOTY;BYTOLLEN
ABDEGTTY;BYTTEDAG
BIRSTTUY;BYTURIST TURISTBY
ABEGHNRÆ;BÆRHAGEN
BEFRSSTØ;BØRSFEST
ABDILNPÅ;BÅNDPILA
ABFKLOTÅ;BÅTFOLKA
ABENTTVÅ;BÅTVANTE
ACEEENRT;CERATENE ECARTEEN
ACEHINPR;CHARPIEN
AACEIMNR;CINERAMA
BCEIMNOR;COMBINER
ADDFGIRT;DAGDRIFT
AABDKMRU;DAMBRUKA
ADEEMMOT;DAMEMOTE MOTEDAME
AADEMNNO;DANOMANE MANNEDOA
ADDEENNS;DANSENDE NEDSANDE SANDENDE SNADDENE
ADDEKTUV;DAUDVEKT
ADEEEKNN;DEKANENE
DEGIMNNP;DEMPNING
DDEEIPST;DEPSIDET SPIDDETE
ADEIORTZ;DIAZOTER
DEEEINTT;DIETTENE TEITENDE
DEIKMOOT;DIKOTOME
ABDIKKOT;DIKTBOKA
DEIILTUV;DILUVIET
DEGIIRRT;DIRIGERT
ADGIINRR;DIRRINGA
DEIMOSSV;DISSEVOM
ADGJNPSU;DJUPSAGN
DEEKKNOP;DOKKEPEN
AADGKMPR;DRAGKAMP
AADEGPRR;DRAGREPA
DERSSTYØ;DRESSTØY SYDØSTRE
DFILLRTU;DRITFULL
ADIPRRTT;DRITPRAT
AADEKKRU;DRUEKAKA KAKADUER
DEEMMNRU;DRUMMENE
ADGGINRY;DRYGINGA
ADKRTTUÅ;DRÅTTKUA
BDEEELNU;DUBLEENE
DILLPRSU;DURSPILL
ADEKNPYÅ;DYNEKÅPA
DGNPRTYØ;DYPGRØNT
DEKNPTTY;DYPTENKT
DEKLLRUY;DYREKULL LYDLUKER
ADDEGLTØ;DØDLAGTE
ADDEFRSØ;DØDSFARE
DDELRSUØ;DØDSLURE
DDEEGNRØ;DØRGENDE
ADEHMRRØ;DØRHAMRE
DELRRSÅØ;DØRLÅSER DØRSLÅER
ADGINVYØ;DØYVINGA
DEELPSSU;EDELPUSS PLUSSEDE
DEEELRTÅ;EDELTÅRE
EEEFGLNU;EFUGLENE
EEGGKRUV;EGGEKURV
AEGGKLSÅ;EGGSKÅLA
EEEGKLSY;EGLESYKE
EEEIMNNR;EIERMENN
EEIILLNS;EIESNILL
EEEKLMPS;EKSEMPEL
EEEIKNSS;EKSISENE SKEISENE
EEEKNNOS;EKSONENE
EEGGLRSÅ;ELGSGRÅE LEGGESÅR
EEGILLNN;ELLINGEN
AEEEJLMR;EMALJERE
EEEIMRTT;EMITTERE METIERET
DEEELNNS;ENDELSEN LENSEDEN LENSENDE
EINNNRST;ENTRINNS
EEENORVY;ENVOYEER
EFIIOPRT;EPITROFI
EEELPRSY;EPLESYRE
DEEEORRT;ERODERTE
EEGRRTTØ;ERTEGRØT
CDEENOSU;ESCUDOEN
EEKKLMSØ;ESELMØKK
EEEGINNS;ESINGENE GNEISENE
EEELRTTV;ETTERLEV TREVLETE
BEEGILVÅ;EVIGBLÅE
EEENSTTV;EVNETEST STEVNETE SVETTENE
AEIKOTVV;EVOKATIV
AAEFLNNU;FANALUEN
AEFFLNTU;FANTEFUL
AAEFGHRV;FARGEHAV
AEFILTUU;FAUTEUIL
AEEFHMNN;FEHAMNEN
DEEEFGIN;FEIGENDE
DEEEFLMR;FEMDELER
AAEFKKST;FESTKAKA
AFIIKSTV;FIKSATIV
EEFILLRY;FILLERYE
BEFINNRY;FINBRYNE
EFINPSSU;FINPUSSE
FGIILNRU;FINURLIG
AEFJKLLR;FJELLKAR
FGIJKNSU;FJUSKING
EEFGJLRØ;FJØLGERE
ADEEFGGL;FLAGGEDE
ABDFGLTY;FLATBYGD
AAFLMRTY;FLATMYRA
EFGILRRÅ;FLERÅRIG
DEEFILLO;FLODLEIE
EFKLRTUU;FLUKTUER
EFLRSSUY;FLUSSYRE
ABEFLNNY;FLYBANEN
BEFLNRYÅ;FLYBÅREN FLYBÅRNE
DEFHLRUY;FLYHUDER
EFGILNNY;FLYINGEN
AADFILRY;FLYRAIDA
EEFLSSTY;FLYSSETE
AFGINNSY;FNYSINGA
EFKLMOOR;FOLKEROM
EFFILORT;FORFEILT FOTFILER
AFHORRTU;FORHUTRA
EFJKORRT;FORKJETR
AFJKLORØ;FORKJØLA
EFLMORTÆ;FORMÆLTE
EEFORRTÅ;FORRÅETE
FIOPRSST;FORSPIST
FOPRRSTU;FORSPURT
FINNORRT;FORTRINN
AFMORRTØ;FORTØMRA
AFIKKORV;FORVIKKA
DFILORRV;FORVILDR
DEEFORRØ;FORØDERE
AFKORRSÅ;FORÅRSAK
EFFINOST;FOSFINET
ADFIMRRV;FRAMDRIV
AFGIKKMR;FRAMGIKK
AAFMRSTT;FRAMSATT TARMSAFT
EFGIINRØ;FREIØING
EEFHKKRT;FREKKHET
EEEFLRRS;FRELSERE
DEEFMRRV;FREMDREV
EEEFRSTT;FRESTETE
AAFGILRR;FRILAGRA
ADDFILOR;FRILODDA
FIILPRST;FRISPILT
DFORRSTØ;FROSTRØD
BFIKRTTU;FRUKTBIT
BEFRSTYÅ;FRYSEBÅT
DEFNNRUØ;FRØDUNEN
EEFRSSTÅ;FRÅSSETE
FGIKLNNU;FUNKLING
EFIKKNSY;FYSIKKEN
EFGNOTTY;FYTOGENT
AADEFRVØ;FØDEVARA
DFINRTÅØ;FØRNÅTID
EEFGILYØ;FØYELIGE
AEEGGLMV;GAMLEVEG
AABEEGNN;GANEBENA
AABEGGNR;GANGBARE
AAFGLNRÅ;GARNFLÅA
ADEGMSSØ;GASSØDEM
AEGIRTTT;GATERITT
DEEEGITV;GEITEVED
EEEGLLNR;GENERELL GNELLERE
EEGNOOPT;GEOTOPEN TOPOGENE
BBEGINOR;GIBBONER
AAFGIRTT;GIFTARTA
EFGIRTTÅ;GIFTÅTER
AEGGILTÅ;GIGELÅTA
EGGINNOR;GIRONGEN GRINGOEN GROINGEN ORGINGEN
GHILMRTÅ;GIRTHMÅL
AEGIIRRV;GIRVAIER GIRVAIRE
EEEGJNST;GJENESTE GJESTENE
AEFGJNNT;GJENFANT
EFGJLNTY;GJENFYLT
EEGJNNOT;GJENTONE
EGGIJNST;GJESTING
EGJKMORØ;GJØKEMOR
AGGILNTT;GLATTING
DEEGLLSØ;GLEDELØS
DEEEFGLS;GLEFSEDE
EEEGLNNT;GLENNETE GLENTENE LENGTENE
EEGILNPP;GLIPPENE
AGJLMORØ;GLOMØRJA
EGGLMNOU;GNOMUGLE
DEFGOORT;GODFOTER
ADGLNNOY;GODLYNNA
AADGLLRT;GRADTALL
ADGLMOOR;GROMOLDA
BGGILNRU;GRUBLING
AGHNNRUV;GRUNNHAV HUNNVARG
GIKNNRRU;GRUNNRIK KNURRING
GMNNRSUØ;GRUNNSØM
GGNORSUV;GRUSVOGN
EEGNNRRØ;GRØNNERE
GILNNPRØ;GRØNNPIL
EGJNNRSØ;GRØNSJEN
ADGLORRÅ;GRÅOLDRA
AAGMORUV;GUAVAROM
AFGGINSU;GUFSINGA
DDEEGINU;GUIDENDE
AAGIJRTU;GUJARATI
ABGKLLTU;GULBLAKT
AGGILNUV;GULVINGA
GILLSTUV;GULVLIST
DEEGNVYØ;GØYVENDE
EEEGLNSÅ;GÅSELENE
AAEEGHLP;HAGEEPLA
AEFHIIKS;HAIFISKE
AAEHKRRU;HAKAURER
AADHILSV;HALVSIDA HAVSILDA VIDHALSA
AHLRRTVØ;HALVTØRR
AEHLNPVÅ;HALVÅPEN HALVÅPNE
AADEFHMR;HAMFERDA
ADEHJNNR;HANDJERN JERNHAND
AADHNRTT;HANDRATT NATTHARD
ADEEFHJN;HANEFJED
AEHLNNVØ;HANNLØVE
ADHKRTTØ;HARDTØKT
ABEHKKRU;HAREBUKK
AEHKSSTT;HATSKEST
AAHKNRUØ;HAUKØRNA
AEFHRRUV;HAVFRUER
ADEFHTVØ;HAVFØDTE
AEHKKOTV;HAVKOKET
AEHJNSVØ;HAVSJØEN
ADDEGHIN;HEDDINGA
DEHIKKNO;HEDONIKK
EEHIKKLO;HEILKOKE
DEEHIILS;HEILSIDE
BEEHIMNY;HEIMBYEN
EEEHILMN;HEIMELEN HEIMLENE
AEEHIILM;HEIMLEIA
EEEHIPRS;HEISEREP
EEEHLSTV;HELVETES
EEHLMPSØ;HEMPELØS
BEHIKKLN;HENBLIKK
EEGHINNV;HENGIVEN HENGIVNE HEVINGEN
EEHKNNSY;HENSYNKE
EEEHNPST;HEPNESTE
DEEEHMNR;HERMENDE
EEHOPRSS;HESPEROS
EHJKNSUV;HEVNSJUK
GHIIKNST;HIKSTING
DDEEHILR;HILDREDE
EFHIRRSØ;HIRSEFRØ
EHILNTTÅ;HITLÅTEN
BEHJLNTU;HJULBENT
EEHIJKLU;HJULEIKE
DEEHJLNU;HJULENDE
EHJKLRUV;HJULVERK
ADEHLMOÅ;HODEMÅLA
BEEFHOTU;HOFTEBUE
EFHILLOR;HOLFILER
DEHILOOR;HOLOEDRI
EHIILMOR;HOMILIER
AEHLLOPT;HOPETALL
AHLMNOOR;HORMONAL
AAGHNOTV;HOVTANGA
DEHPRTUY;HUDTYPER
AEHLSTUU;HUELAUST
EFHNSSTU;HUFSNEST
EEGGHNRU;HUGGEREN HUGGERNE
AEGGHLTU;HUGLAGET HUGLAGTE
EGHNRTUÆ;HUGÆRENT
EEHLMNNU;HULEMENN
AGHLLSTU;HULLGAST
ADEHNUYØ;HUNDEØYA
EHMORSSU;HUSMOSER
EHNNOSUV;HUSNOVEN
DEEHRRTY;HYDRERTE
EHKKLRSY;HYKLERSK
EEHIMPRY;HYPEREMI
AGHINNRY;HYRNINGA
AFGHLOTØ;HØGLOFTA
ABHRSTTØ;HØSTBART
BDHRSTUØ;HØSTBRUD
AGHRSSTØ;HØSTGRAS
EHMNNSTØ;HØSTMENN
EHRSSTUØ;HØSTSURE
BEHNORYØ;HØYBROEN
DEEHLNYØ;HØYLENDE
EHNPSTYØ;HØYSPENT
EEHNTUYØ;HØYTUENE
AEHKTVYØ;HØYVEKTA
ABDHNORÅ;HÅNDBORA
DEHLNSÅØ;HÅNDLØSE
ADHKMNTÅ;HÅNDMAKT
DEHNRTTÅ;HÅNDTERT
ADHKNSVÅ;HÅNDVASK
EEHLRTTÅ;HÅRLETTE
AEHRTTUÅ;HÅRTAUET
EHNNORTÅ;HÅRTONEN TORNHÅEN
ADILMMOR;ILDROMMA
DDEILNRÅ;ILDÅNDER
EIILMNTT;ILMENITT MELINITT
EEIIMRRT;IMITERER RIMERIET
EEEFINRR;INFERERE
AIIJNRTU;INJURIAT
BINNORTT;INNBROTT
EILNNRRÅ;INNERLÅR
FIKLNNTØ;INNFLØKT
EIJKNNRØ;INNKJØRE
ILNNSTYØ;INNLØYST
AEIMMNNR;INNRAMME
AILLNNTU;INNTULLA
DEEINNVØ;INNØVEDE
BILMOSST;ISBLOMST
ABDDIRSU;ISBRUDDA
EIINNPRS;ISPINNER SPINNERI
ADHJKNTU;JAKTHUND
AJKKRSTU;JAKTKURS
AAEJLNOP;JALAPENO
AEJMRRTØ;JAMTØRRE
AEGIIJKN;JEIKINGA
BEJKNRRU;JERNBRUK
BEEJKNRÅ;JERNBÅKE
AEJMNRRY;JERNMYRA
AEGIJNNV;JEVNINGA
AADJLOST;JODSALTA
ADJLORSS;JORDLASS
DEJNORRV;JORDVERN
AEJLMNNU;JULEMANN
EEEJLNRU;JULERENE
DEJLRTUÅ;JULETRÅD
AIJMNTUØ;JUNIMØTA
ADEKTTYØ;KADETTØY KATTØYDE
AEFFKRTU;KAFFETUR
AAGIKLLN;KALLINGA
ADGKLMPØ;KAMPGLØD
ADHKMNPU;KAMPHUND
AIKMPPRS;KAMPPRIS PRISKAMP
AADIKMPT;KAMPTIDA
AADIKKNS;KANADISK
AABKLNTÅ;KANALBÅT
AEKKLNVÅ;KANELVÅK
AAIKLNNV;KANINAVL
AKNNORRØ;KANONRØR KRONØRNA
AAEKLLNP;KAPELLAN PLANKELA
ADEKPPRU;KAPPDUER
AEEIKLVV;KAVLEVEI
EEIKMMOS;KEISOMME
AEFIKLLY;KILEFLYA
EGIIKNNS;KISINGEN KNEISING SEINKING SIKINGEN SKEINING SKIINGEN
EEGIJKNN;KJEINGEN
EGIJKKNS;KJEKSING KJESKING SJEKKING
EJKLNSTÆ;KJÆLNEST
DEGIJKLØ;KJØDELIG
BEJKLRUØ;KJØLBUER
EEGJKRVØ;KJØREVEG
AEGGKLLR;KLARLEGG
AIKKLSST;KLASTISK STILKAKS
AEKLLSSU;KLESLUSA LAKSELUS
EIIKKLNS;KLINISKE
GIIKLNRR;KLIRRING
DEKKLNOY;KLONDYKE
EEKLNOPP;KLOPPENE
AEKKLPTY;KLYPETAK
GIKLNVYØ;KLØYVING
AGIKKNNS;KNASKING SKAKNING SNAKKING
AABDEKNN;KNEBANDA NAKENBAD NEKBANDA
DEEJKNPU;KNEDJUPE
AFIIKLNV;KNIVFILA
EEKLLNNO;KNOLLENE
ABBKLORT;KOBLBART
EGKKORSÅ;KOKSGRÅE
EEKLOORR;KOLORERE
EKLOOSTT;KOLSOTET
EKKLMOPS;KOMPLEKS
DEKNOORR;KONDORER RONKEDOR
DEGGKNOU;KONGEGUD
EIIKNNOT;KONIINET
ADKKORRT;KORDRAKT
DDIKMNOR;KORNMIDD
KLLMNORØ;KORNMØLL
ABBDEEKR;KRABBEDE
ABBGIKNR;KRABBING
AAKNRRSÅ;KRANSÅRA
EEEKMRRT;KREMERTE TEMERKER
EEEKRRSV;KREVERES
AAIKKMRS;KRIMSAKA
ADIIKRTT;KRITTIDA
GIIKNRTT;KRITTING
EEKNNOOR;KROONENE
EIKKNRRØ;KRØNIKER
EJKNRSSØ;KRØNSJES SKJØNSER SKJØRNES
DGIKLLSU;KULDSLIG
KLLOPRTU;KULLPORT
AEKKMRRU;KURMAKER
ABKLLRUV;KURVBALL
EKOPPRSU;KUSOPPER
AEGKLLVØ;KVALØGLE
AEKRRTVÆ;KVARTÆRE
EEEFIKNV;KVEIFENE
EEIKKNPV;KVENPIKE
AIKLSTVV;KVISTLAV
DIKRTTVØ;KVITRØDT RØDKVITT
BDEKNSYÅ;KYSEBÅND
AEHKKSTY;KYSKHETA
AEKLPPRØ;KØLAPPER
EEKKNRUÅ;KÅRKUENE
ACELORSS;LACROSSE
AADGILNN;LADNINGA LANDINGA
ACEGLPRU;LAGCUPER
AEGLLPTØ;LAGLØPET
AEGKKLLS;LAKKSEGL SEGLLAKK
ADDELNSS;LANDSSED LEDDSANS
ADEELLSS;LASSLEDE SADELSEL
AAELLRTT;LATERALT TRETALLA
ALNNTUVY;LAUVTYNN
EEEFILRØ;LEIEFØRE
EGGILNNT;LENGTING
EEGILLTT;LETTELIG
AAGIKLMP;LIGAKAMP
EGGIKLSY;LIGGESYK
EIIKLLNT;LIKLINET TILKLINE
BEIJLNTÅ;LINJEBÅT
EIJKLLNO;LINKJOLE
EILLNSSU;LINSELUS
DEIILOPT;LIPOIDET
AILNOSVV;LIVSVONA
EEJLMNTÅ;LJÅEMNET
EJLORTVÅ;LJÅORVET
EEFFLNOR;LOFFEREN LOFFERNE
AFKLLOTU;LOFTLUKA
AIJLLOST;LOJALIST
EILNNOOT;LOTIONEN
EELNOOTT;LOTTOENE
AELLOTTV;LOVTALTE
AFGGLNTU;LUFTGANG
AJLNNOSU;LUNASJON
DDELORTY;LYDORDET
DEKLLOSY;LYDSKOLE
ADEGKKLY;LYKKEDAG
EGLMNNOY;LYNGMOEN
AJKLNPTY;LYNKJAPT
ELLNRSYÅ;LYNLÅSER
GLNNRSYØ;LYSGRØNN
ELNPRSYÆ;LYSPÆREN
ALOPRSSY;LYSSPORA SPORLYSA
ELNSSTTY;LYSTNEST
BEEGLORÆ;LÆREBOGE
EEIKLRRÆ;LÆRERIKE
EGILNNRÆ;LÆRINGEN RÆLINGEN
AELMMORØ;LØEROMMA
EEKLLPRØ;LØKEPLER PERLELØK
DLMNNORØ;LØNNMORD
DEGLRVÅØ;LØVEGÅRD
GHLOSTVØ;LØVHOGST
ADLNRYÅØ;LØYNRÅDA
GKLNPTUÅ;LÅGPUNKT
AELLPSTÅ;LÅSPLATE PLATELÅS TALLSÅPE
ACEEHMRT;MACHETER
AAEGHLMU;MAHEUGLA
AAEEKKMN;MAKAKENE
AEHKKLMO;MAKKEHOL
AELMMNRÅ;MALMÅREN RAMMELÅN RÅMALMEN
AABMNNRT;MANNBART
AAGLMNNT;MANNGALT
AAHIMNRØ;MARIHØNA
AEMMNORR;MARMOREN
AAGLMRSS;MARSSALG
AEMRRSSØ;MASSØRER SAMRØRES SØRSAMER
AAGMORTT;MATTORGA
DDEEIKMT;MEDDIKTE
ADDEEFMR;MEDFERDA
DDEIMNSV;MEDVINDS
EHILMTTV;MELHVITT
EEEIKLMV;MELKEVEI
AAEGLLMS;MELSLAGA
DEEMNNRÅ;MENRÅDEN
EEEMNOPT;METOPENE TEMPOENE
AADIMNTT;MIDNATTA
EEIKMMRU;MIMREUKE
AIIMNSTT;MINISTAT
AFIKMMNR;MINKFARM
EIIKMNNR;MINNERIK
EIJMNNOS;MISJONEN
DEEJLMNØ;MJØLENDE
IJKLMSTØ;MJØLSIKT
AEKLLMOY;MOLEKYLA
DEEMMNOS;MOMSENDE
GKLMNOOS;MONGOLSK
DHMNORSÅ;MORSHÅND
AEMMORSY;MOSEMYRA
BEKMNOOT;MOTBOKEN
AAKMOSTT;MOTKASTA
EGMOORTV;MOTORVEG
ELMNOOPT;MOTPOLEN
ALMOSTTÅ;MOTSTÅLA
BDELMNUÅ;MULEBÅND
AILLMPRU;MURPILLA
ABEMRSUU;MUSEBURA
AEKMSSUY;MUSESYKA
AADKLMNY;MYKLANDA
AMORRTVY;MYRTORVA TORVMYRA
EEHMRRTØ;MØRHETER
BEKLMRÅØ;MØRKBLÅE MØRKEBLÅ
ELMNTVYÅ;MÅLTYVEN
EGMNRRUÅ;MÅRUNGER
AEHKKNRÅ;NAKKEHÅR
AAGMNNOR;NANOGRAM
ADDKNORØ;NARKODØD
AAKNSTTY;NATTSKYA
ADENSTTT;NATTSTED
AEENRRUU;NAURUERE
AFJNSTUØ;NAUTFJØS
BBDEILNS;NEBBSILD
AADEGGNT;NEDTAGGA
EEKNNSSU;NEKSUSEN SNUSKENE
BEEFNOOR;NEOFOBER
ABEEENNS;NESEBENA SENEBENA
AELNNTTÅ;NETTNÅLA
ADIJNNOS;NIDASJON
EGGINPTU;NIPUGGET
AGGNNORT;NOGGRANT
ALMNNOSÅ;NONSMÅLA
IMNNSTUØ;NUMINØST
AAEELNNY;NYALAENE
ABDDENRY;NYBREDDA
EEGINRRÆ;NÆRIGERE
ADNNOPRØ;NØDANROP
DELNNOVØ;NØDLOVEN
ADDEINTÅ;NÅDETIDA
GILNSSTÅ;NÅSLIGST
EEFFORST;OFFSETER
EGHIMNNO;OHMINGEN
AEHMMORT;OHMMETRA
BDEKLOOS;OKSEBLOD
ADEHKOOS;OKSEHODA
BEEJLORY;OLJEBYER
EEGJLORÅ;OLJEGRÅE
EEJLMOTØ;OLJEMØTE
AELLNNOV;OLLEVANN
BEMORTTY;OMBYTTER
AILLMOPS;OMSPILLA
ADEGOPPR;OPPDAGER
